OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,REV_AT_EPOCH,BSTAR,orbital_period_min,altitude_estimated,drag_index,energy_index,orbit_type,orbit_family,anomaly_score,anomaly_flag
EYESAT A (AO-27),1993-061C,22825,2025-10-13 22:20:10.511808,14.30844416,0.00095136,98.7229,349.0318,101.9252,258.2998,1.73e-06,0.0,67178,8.2902399e-05,100.63987278404419,796.0466729625923,7.887002631264001e-08,0.0024422222207727134,LEO,LEO,-0.13851366076235105,1
ITAMSAT (IO-26),1993-061D,22826,2025-10-13 21:54:32.679936,14.31262357,0.00100308,98.7176,348.9077,87.6735,272.5596,1.96e-06,0.0,67208,9.0869293e-05,100.61048506985921,794.6513785972602,9.114917042243999e-08,0.002440796128952634,LEO,LEO,-0.13738455419695944,1
USA 99 (MILSTAR-1 1),1994-009A,22988,2025-10-13 07:08:38.650848,1.00272918,0.0002603,17.2514,30.3536,209.7803,159.1684,-2.07e-06,0.0,3048,0.0,1436.0806773370252,35793.41434315228,0.0,0.49728195211727655,GEO,GEO,-0.022067905614236993,1
RADIO ROSTO (RS-15),1994-085A,23439,2025-10-13 21:57:33.746688,11.27581553,0.01478315,64.8207,341.5024,50.0005,311.3789,-2.9e-07,0.0,26813,0.00036832286,127.70694910437224,2029.4625453621502,5.444972087809e-06,0.003932548430156907,MEO,MEO,-0.020852723967171527,1
UFO 4 (USA 108),1995-003A,23467,2025-10-13 10:48:33.936192,1.00269447,0.00044291,9.7013,14.0154,185.5036,157.2968,-3.1e-07,0.0,11247,0.0,1436.1303897487337,35794.38740019809,0.0,0.4973163812596088,GEO,GEO,0.0019163025236951237,-1
TDRS 7,1995-035B,23613,2025-10-13 15:50:09.934944,1.00270825,0.00064288,13.4807,349.8749,105.3337,253.9383,-2.49e-06,0.0,11077,0.0,1436.1106533231377,35794.00108618685,0.0,0.4973027123331909,GEO,GEO,0.01134618356466266,-1
USA 115 (MILSTAR-1 2),1995-060A,23712,2025-10-13 05:59:38.013792,1.00274462,0.00021973,13.9833,5.5589,225.3932,121.0478,-2.9e-07,0.0,3040,0.0,1436.0585649414902,35792.98151760848,0.0,0.4972666381997039,GEO,GEO,-0.013957432971318462,1
POLAR,1996-013A,23802,2025-10-03 13:20:43.680768,1.29846605,0.62190332,79.5676,229.9074,217.7574,75.9205,2.03e-06,0.0,14152,0.0,1109.0008860840067,29119.717171786768,0.0,0.2965574279839679,MEO,MEO,0.07498518157996514,-1
INMARSAT 3-F1,1996-020A,23839,2025-10-13 15:51:55.488960,1.0000402,0.00088221,10.0854,48.8402,163.8638,203.5881,-2.19e-06,0.0,10779,0.0,1439.9421143270042,35868.963650816084,0.0,0.4999598024239302,GEO,GEO,0.015929468367635202,-1
USA 119,1996-029A,23893,2025-10-13 22:38:58.929504,13.45369121,0.0838677,63.321,115.901,45.4138,321.2292,1.615e-05,0.0,7213,0.0003049879,107.03382272737623,1096.4823419508448,2.557863370083e-05,0.0027624033583225796,LEO,LEO,-0.02693688842672104,1
JAS-2 (FO-29),1996-046B,24278,2025-10-13 14:10:34.251744,13.53256628,0.03502945,98.5531,163.7821,16.2117,344.99,-2.1e-07,0.0,43981,1.4680301e-05,106.409972078112,1067.4377476577474,5.142428698644499e-07,0.0027302956591590895,LEO,LEO,-0.034451995188269025,1
INMARSAT 3-F2,1996-053A,24307,2025-10-13 11:52:48.413856,0.99986085,0.00065106,9.2954,56.3865,143.4055,38.5054,1.29e-06,0.0,10645,0.0,1440.2004038862008,35874.01469434605,0.0,0.5001391790494732,GEO,GEO,0.027931699286819156,-1
INMARSAT 3-F3,1996-070A,24674,2025-10-13 05:31:38.652672,0.99985352,0.00078682,9.7825,51.9633,164.9151,185.0156,-2.78e-06,0.0,10543,0.0,1440.2109621017287,35874.22116164229,0.0,0.5001465121908726,GEO,GEO,0.015857482945551782,-1
NAVSTAR 43 (USA 132),1997-035A,24876,2025-10-13 09:42:26.638272,2.0056311,0.00959839,55.8638,108.2284,56.7296,304.2301,4.2e-07,0.0,20700,0.0,717.9784956465822,20189.39143077325,0.0,0.12429907412493474,MEO,MEO,0.019320561669531444,-1
FORTE,1997-047A,24920,2025-10-13 12:13:49.520352,14.27784777,0.00250445,69.9534,211.1311,256.8077,103.0251,3.32e-06,0.0,46347,0.00015704416,100.85553671651172,806.2819929388397,3.93309246512e-07,0.002452700445210177,LEO,LEO,-0.1649697668677348,1
AMC-3,1997-050A,24936,2025-10-13 18:12:34.506144,1.00271627,0.000302,7.5411,66.8648,150.0257,6.8312,-2.71e-06,0.0,4996,0.0,1436.0991669158814,35793.7762543844,0.0,0.497294757237772,GEO,GEO,-0.014707327470456222,1
USA 134,1997-065A,25019,2025-10-13 07:44:27.963168,1.00276033,0.0003882,12.4899,23.5221,236.3575,126.1257,-7.2e-07,0.0,3048,0.0,1436.0360665643802,35792.54113462468,0.0,0.49725105721298635,GEO,GEO,-0.01031845161127709,1
