COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-15 14:00:01,999872,15.73145329,9.12e-05,53.2134,358.5624,126.6779,230.4628,0,999,501,0.00036882,0.00051337,0,3447012,0 STARLINK-3874,1 52365U 22045AL  22135.58335648  .00051337  00000-0  36882-3 0  9998,2 52365  53.2134 358.5624 0000912 126.6779 230.4628 15.73145329  5015,2022-045AL,52365,6728.051,91.536,350.53,349.302,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-15 14:00:01,999872,15.73145329,9.12e-05,53.2134,358.5624,126.6779,230.4628,0,999,130,0.00036882,0.00051337,0,3447100,0 STARLINK-3874,1 52365U 22045AL  22135.58335648  .00051337  00000-0  36882-3 0  9998,2 52365  53.2134 358.5624 0000912 126.6779 230.4628 15.73145329  1303,2022-045AL,52365,6728.051,91.536,350.53,349.302,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-15 22:00:00,999936,15.73213196,8.97e-05,53.2141,356.9151,107.9221,338.0743,0,999,130,-0.00025227,-0.00035891,0,3447521,0 STARLINK-3874,1 52365U 22045AL  22135.91667824 -.00035891  00000-0 -25227-3 0  9999,2 52365  53.2141 356.9151 0000897 107.9221 338.0743 15.73213196  1305,2022-045AL,52365,6727.858,91.532,350.326,349.119,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-16 06:00:02,160,15.73186159,0.0001057,53.2141,355.2646,104.4281,70.5455,0,999,512,-0.00028289,-0.00040108,0,3447964,0 STARLINK-3874,1 52365U 22045AL  22136.25002315 -.00040108  00000-0 -28289-3 0  9993,2 52365  53.2141 355.2646 0001057 104.4281  70.5455 15.73186159  5123,2022-045AL,52365,6727.935,91.534,350.511,349.088,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-16 14:00:01,224,15.73147498,0.0001359,53.2144,353.6137,109.6481,154.1435,0,999,130,2.5648e-05,2.973e-05,0,3448591,0 STARLINK-3874,1 52365U 22045AL  22136.58334491  .00002973  00000-0  25648-4 0  9995,2 52365  53.2144 353.6137 0001359 109.6481 154.1435 15.73147498  1303,2022-045AL,52365,6728.045,91.536,350.824,348.996,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-16 20:00:01,224,15.73159251,0.0001342,53.2141,352.3782,100.757,139.7118,0,999,521,0.00038059,0.00053038,0,3449002,0 STARLINK-3874,1 52365U 22045AL  22136.83334491  .00053038  00000-0  38059-3 0  9990,2 52365  53.2141 352.3782 0001342 100.7570 139.7118 15.73159251  5216,2022-045AL,52365,6728.011,91.536,350.779,348.973,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-16 22:00:00,999936,15.73162468,0.0001338,53.2141,351.9661,98.8349,253.8559,0,999,130,0.00050268,0.00070407,0,3449601,0 STARLINK-3874,1 52365U 22045AL  22136.91667824  .00070407  00000-0  50268-3 0  9993,2 52365  53.2141 351.9661 0001338  98.8349 253.8559 15.73162468  1300,2022-045AL,52365,6728.002,91.535,350.767,348.967,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-17 14:00:01,999872,15.73236928,0.0001232,53.2138,348.6647,115.7625,54.8629,0,999,130,-0.00037021,-0.00052336,0,3450137,0 STARLINK-3874,1 52365U 22045AL  22137.58335648 -.00052336  00000-0 -37021-3 0  9998,2 52365  53.2138 348.6647 0001232 115.7625  54.8629 15.73236928  1302,2022-045AL,52365,6727.79,91.531,350.484,348.826,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-17 20:00:01,224,15.73181617,0.0001156,53.2137,347.4292,104.0191,43.2645,0,999,537,0.00010769,0.00014508,0,3450545,0 STARLINK-3874,1 52365U 22045AL  22137.83334491  .00014508  00000-0  10769-3 0  9998,2 52365  53.2137 347.4292 0001156 104.0191  43.2645 15.73181617  5373,2022-045AL,52365,6727.948,91.534,350.59,349.035,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-17 22:00:01,999584,15.73160619,0.0001227,53.2139,347.0172,99.8838,159.6983,0,999,130,0.00052397,0.00073436,0,3451081,0 STARLINK-3874,1 52365U 22045AL  22137.91668981  .00073436  00000-0  52397-3 0  9999,2 52365  53.2139 347.0172 0001227  99.8838 159.6983 15.73160619  1301,2022-045AL,52365,6728.007,91.535,350.698,349.047,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-18 06:00:00,999648,15.73253393,0.0001201,53.214,345.3663,104.3929,244.0448,0,999,543,-0.00044994,-0.00063435,0,3451211,0 STARLINK-3874,1 52365U 22045AL  22138.25001157 -.00063435  00000-0 -44994-3 0  9997,2 52365  53.2140 345.3663 0001201 104.3929 244.0448 15.73253393  5439,2022-045AL,52365,6727.743,91.53,350.416,348.8,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-18 12:00:00,999648,15.73206847,0.0001244,53.2141,344.1277,109.6738,215.4993,0,999,547,0.00038915,0.00054365,0,3451707,0 STARLINK-3874,1 52365U 22045AL  22138.50001157  .00054365  00000-0  38915-3 0  9991,2 52365  53.2141 344.1277 0001244 109.6738 215.4993 15.73206847  5474,2022-045AL,52365,6727.876,91.533,350.578,348.904,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-18 14:00:01,224,15.73250814,0.0001287,53.2144,343.7156,109.3619,328.0363,0,999,130,-0.00017673,-0.00025402,0,3451871,0 STARLINK-3874,1 52365U 22045AL  22138.58334491 -.00025402  00000-0 -17673-3 0  9999,2 52365  53.2144 343.7156 0001287 109.3619 328.0363 15.73250814  1303,2022-045AL,52365,6727.75,91.53,350.481,348.749,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-18 20:00:01,224,15.73239549,0.0001021,53.2141,342.48,101.3949,312.7412,0,999,553,-0.00073776,-0.00103071,0,3452296,0 STARLINK-3874,1 52365U 22045AL  22138.83334491 -.00103071  00000-0 -73776-3 0  9992,2 52365  53.2141 342.4800 0001021 101.3949 312.7412 15.73239549  5532,2022-045AL,52365,6727.782,91.531,350.334,348.961,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-18 22:00:00,999936,15.73207409,9.77e-05,53.2143,342.0679,97.1405,69.2407,0,999,130,-0.00046581,-0.00065504,0,3452356,0 STARLINK-3874,1 52365U 22045AL  22138.91667824 -.00065504  00000-0 -46581-3 0  9992,2 52365  53.2143 342.0679 0000977  97.1405  69.2407 15.73207409  1301,2022-045AL,52365,6727.874,91.533,350.396,349.082,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-19 06:00:00,999648,15.73150565,9.31e-05,53.2137,340.4169,104.9416,150.3572,0,999,559,0.00017861,0.00024467,0,3452849,0 STARLINK-3874,1 52365U 22045AL  22139.25001157  .00024467  00000-0  17861-3 0  9991,2 52365  53.2137 340.4169 0000931 104.9416 150.3572 15.73150565  5599,2022-045AL,52365,6728.036,91.536,350.527,349.275,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-19 14:00:01,999872,15.73192892,0.0001106,53.214,338.7667,111.9808,232.2522,0,999,130,-0.00026651,-0.00037842,0,3453038,0 STARLINK-3874,1 52365U 22045AL  22139.58335648 -.00037842  00000-0 -26651-3 0  9992,2 52365  53.2140 338.7667 0001106 111.9808 232.2522 15.73192892  1303,2022-045AL,52365,6727.915,91.534,350.525,349.036,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-19 22:00:00,999936,15.73159372,0.000105,53.2141,337.1193,97.6731,335.4267,0,999,130,0.00075565,0.00106599,0,3453812,0 STARLINK-3874,1 52365U 22045AL  22139.91667824  .00106599  00000-0  75565-3 0  9995,2 52365  53.2141 337.1193 0001050  97.6731 335.4267 15.73159372  1302,2022-045AL,52365,6728.011,91.536,350.582,349.17,0
